year,county.fips,map.id,state.fips,county.name,state.name,state.abb,election.count,party,vote.percent,vote.count,county.total.count,national.party.count,national.party.percent,national.count,is.national.winner
1988,45001,45001,45,abbeville,south carolina,SC,15,D,49,3629,7401,41820348,45.62675303,91657515,FALSE
1992,45001,45001,45,abbeville,south carolina,SC,15,D,47.6,3968,8343,44946900,43.01307598,104495898,TRUE
1996,45001,45001,45,abbeville,south carolina,SC,15,D,49.2,3493,7100,47454004,49.2462427,96360659,TRUE
2000,45001,45001,45,abbeville,south carolina,SC,15,D,45,3766,8374,51091078,48.41441218,105528655,FALSE
2004,45001,45001,45,abbeville,south carolina,SC,15,D,44.2,4389,9925,59116441,48.28770373,122425455,FALSE
2008,45001,45001,45,abbeville,south carolina,SC,15,D,41.8,4593,11001,69618328,52.89091058,131626261,TRUE
2012,45001,45001,45,abbeville,south carolina,SC,15,D,42.6,4543,10671,66015263,51.02162484,129386830,TRUE
1988,22001,22001,22,acadia,louisiana,LA,15,D,49.8,11510,23110,41820348,45.62675303,91657515,FALSE
1992,22001,22001,22,acadia,louisiana,LA,15,D,50,12276,24568,44946900,43.01307598,104495898,TRUE
1996,22001,22001,22,acadia,louisiana,LA,15,D,51.4,12300,23927,47454004,49.2462427,96360659,TRUE
2000,22001,22001,22,acadia,louisiana,LA,15,D,38.3,8892,23238,51091078,48.41441218,105528655,FALSE
2004,22001,22001,22,acadia,louisiana,LA,15,D,35.4,8937,25230,59116441,48.28770373,122425455,FALSE
2008,22001,22001,22,acadia,louisiana,LA,15,D,26.3,7028,26711,69618328,52.89091058,131626261,TRUE
2012,22001,22001,22,acadia,louisiana,LA,15,D,24.4,6560,26835,66015263,51.02162484,129386830,TRUE
1988,51001,51001,51,accomack,virginia,VA,15,D,38.5,4443,11542,41820348,45.62675303,91657515,FALSE
1992,51001,51001,51,accomack,virginia,VA,15,D,37.7,4950,13125,44946900,43.01307598,104495898,TRUE
1996,51001,51001,51,accomack,virginia,VA,15,D,44.8,5220,11654,47454004,49.2462427,96360659,TRUE
2000,51001,51001,51,accomack,virginia,VA,15,D,42.7,5092,11925,51091078,48.41441218,105528655,FALSE
2004,51001,51001,51,accomack,virginia,VA,15,D,41.3,5518,13356,59116441,48.28770373,122425455,FALSE
2008,51001,51001,51,accomack,virginia,VA,15,D,48.7,7607,15623,69618328,52.89091058,131626261,TRUE
2012,51001,51001,51,accomack,virginia,VA,15,D,47.7,7655,16051,66015263,51.02162484,129386830,TRUE
1988,16001,16001,16,ada,idaho,ID,15,D,35,30525,87334,41820348,45.62675303,91657515,FALSE
1992,16001,16001,16,ada,idaho,ID,15,D,29,31941,110166,44946900,43.01307598,104495898,TRUE
1996,16001,16001,16,ada,idaho,ID,15,D,36.6,43040,117743,47454004,49.2462427,96360659,TRUE
2000,16001,16001,16,ada,idaho,ID,15,D,32.9,40650,123485,51091078,48.41441218,105528655,FALSE
2004,16001,16001,16,ada,idaho,ID,15,D,37.7,58523,155030,59116441,48.28770373,122425455,FALSE
2008,16001,16001,16,ada,idaho,ID,15,D,45.5,82236,180760,69618328,52.89091058,131626261,TRUE
2012,16001,16001,16,ada,idaho,ID,15,D,42.3,77137,182246,66015263,51.02162484,129386830,TRUE
1988,19001,19001,19,adair,iowa,IA,15,D,54.8,2261,4123,41820348,45.62675303,91657515,FALSE
1992,19001,19001,19,adair,iowa,IA,15,D,39.5,1655,4194,44946900,43.01307598,104495898,TRUE
1996,19001,19001,19,adair,iowa,IA,15,D,45.8,1802,3935,47454004,49.2462427,96360659,TRUE
2000,19001,19001,19,adair,iowa,IA,15,D,42.5,1753,4123,51091078,48.41441218,105528655,FALSE
2004,19001,19001,19,adair,iowa,IA,15,D,43.1,1844,4278,59116441,48.28770373,122425455,FALSE
2008,19001,19001,19,adair,iowa,IA,15,D,47.5,1924,4053,69618328,52.89091058,131626261,TRUE
2012,19001,19001,19,adair,iowa,IA,15,D,44.8,1790,3996,66015263,51.02162484,129386830,TRUE
1988,21001,21001,21,adair,kentucky,KY,15,D,28.2,1723,6113,41820348,45.62675303,91657515,FALSE
1992,21001,21001,21,adair,kentucky,KY,15,D,31.8,2044,6424,44946900,43.01307598,104495898,TRUE
1996,21001,21001,21,adair,kentucky,KY,15,D,27.9,1821,6538,47454004,49.2462427,96360659,TRUE
2000,21001,21001,21,adair,kentucky,KY,15,D,24.3,1779,7328,51091078,48.41441218,105528655,FALSE
2004,21001,21001,21,adair,kentucky,KY,15,D,23.7,1764,7447,59116441,48.28770373,122425455,FALSE
2008,21001,21001,21,adair,kentucky,KY,15,D,22.9,1668,7298,69618328,52.89091058,131626261,TRUE
2012,21001,21001,21,adair,kentucky,KY,15,D,21.8,1660,7600,66015263,51.02162484,129386830,TRUE
1988,29001,29001,29,adair,missouri,MO,15,D,38.3,3571,9334,41820348,45.62675303,91657515,FALSE
1992,29001,29001,29,adair,missouri,MO,15,D,39.8,4232,10640,44946900,43.01307598,104495898,TRUE
1996,29001,29001,29,adair,missouri,MO,15,D,42.7,4441,10397,47454004,49.2462427,96360659,TRUE
2000,29001,29001,29,adair,missouri,MO,15,D,38.9,4101,10552,51091078,48.41441218,105528655,FALSE
2004,29001,29001,29,adair,missouri,MO,15,D,43.3,4938,11404,59116441,48.28770373,122425455,FALSE
2008,29001,29001,29,adair,missouri,MO,15,D,48.3,5735,11871,69618328,52.89091058,131626261,TRUE
2012,29001,29001,29,adair,missouri,MO,15,D,41.7,4219,10126,66015263,51.02162484,129386830,TRUE
1988,40001,40001,40,adair,oklahoma,OK,15,D,42.1,2624,6240,41820348,45.62675303,91657515,FALSE
1992,40001,40001,40,adair,oklahoma,OK,15,D,40.2,2645,6583,44946900,43.01307598,104495898,TRUE
1996,40001,40001,40,adair,oklahoma,OK,15,D,42.8,2792,6521,47454004,49.2462427,96360659,TRUE
2000,40001,40001,40,adair,oklahoma,OK,15,D,39.5,2361,5977,51091078,48.41441218,105528655,FALSE
2004,40001,40001,40,adair,oklahoma,OK,15,D,34,2562,7533,59116441,48.28770373,122425455,FALSE
2008,40001,40001,40,adair,oklahoma,OK,15,D,30.7,2052,6690,69618328,52.89091058,131626261,TRUE
2012,40001,40001,40,adair,oklahoma,OK,15,D,32.7,2127,6508,66015263,51.02162484,129386830,TRUE
1988,8001,8001,8,adams,colorado,CO,15,D,52.6,49464,94094,41820348,45.62675303,91657515,FALSE
1992,8001,8001,8,adams,colorado,CO,15,D,44,45357,103077,44946900,43.01307598,104495898,TRUE
1996,8001,8001,8,adams,colorado,CO,15,D,51.3,48314,94214,47454004,49.2462427,96360659,TRUE
2000,8001,8001,8,adams,colorado,CO,15,D,50.2,54132,107852,51091078,48.41441218,105528655,FALSE
2004,8001,8001,8,adams,colorado,CO,15,D,50.6,69122,136677,59116441,48.28770373,122425455,FALSE
2008,8001,8001,8,adams,colorado,CO,15,D,58.2,93445,160501,69618328,52.89091058,131626261,TRUE
2012,8001,8001,8,adams,colorado,CO,15,D,56.9,100649,176893,66015263,51.02162484,129386830,TRUE
1988,16003,16003,16,adams,idaho,ID,15,D,35.7,643,1799,41820348,45.62675303,91657515,FALSE
