year,county.fips,map.id,state.fips,county.name,state.name,state.abb,election.count,party,vote.percent,vote.count,county.total.count,national.party.count,national.party.percent,national.count,is.national.winner
2012,45001,45001,45,abbeville,south carolina,SC,15,R,56,5981,10671,60998661,47.14441261,129386830,FALSE
2016,45001,45001,45,abbeville,south carolina,SC,15,R,62.8,6763,10775,62644203,46.11223225,135851595,TRUE
2012,22001,22001,22,acadia,louisiana,LA,15,R,74.3,19931,26835,60998661,47.14441261,129386830,FALSE
2016,22001,22001,22,acadia,louisiana,LA,15,R,77.3,21162,27389,62644203,46.11223225,135851595,TRUE
2012,51001,51001,51,accomack,virginia,VA,15,R,51.2,8213,16051,60998661,47.14441261,129386830,FALSE
2016,51001,51001,51,accomack,virginia,VA,15,R,54.3,8583,15818,62644203,46.11223225,135851595,TRUE
2012,16001,16001,16,ada,idaho,ID,15,R,53.5,97554,182246,60998661,47.14441261,129386830,FALSE
2016,16001,16001,16,ada,idaho,ID,15,R,47.9,93752,195669,62644203,46.11223225,135851595,TRUE
2012,19001,19001,19,adair,iowa,IA,15,R,52.9,2114,3996,60998661,47.14441261,129386830,FALSE
2016,19001,19001,19,adair,iowa,IA,15,R,64.6,2461,3811,62644203,46.11223225,135851595,TRUE
2012,21001,21001,21,adair,kentucky,KY,15,R,76.9,5841,7600,60998661,47.14441261,129386830,FALSE
2016,21001,21001,21,adair,kentucky,KY,15,R,80.6,6637,8233,62644203,46.11223225,135851595,TRUE
2012,29001,29001,29,adair,missouri,MO,15,R,55.8,5651,10126,60998661,47.14441261,129386830,FALSE
2016,29001,29001,29,adair,missouri,MO,15,R,59,6019,10210,62644203,46.11223225,135851595,TRUE
2012,40001,40001,40,adair,oklahoma,OK,15,R,67.3,4381,6508,60998661,47.14441261,129386830,FALSE
2016,40001,40001,40,adair,oklahoma,OK,15,R,73.5,4787,6513,62644203,46.11223225,135851595,TRUE
2012,8001,8001,8,adams,colorado,CO,15,R,40.1,70972,176893,60998661,47.14441261,129386830,FALSE
2016,8001,8001,8,adams,colorado,CO,15,R,41.4,80082,193665,62644203,46.11223225,135851595,TRUE
2012,16003,16003,16,adams,idaho,ID,15,R,68.6,1413,2061,60998661,47.14441261,129386830,FALSE
2016,16003,16003,16,adams,idaho,ID,15,R,71.3,1556,2183,62644203,46.11223225,135851595,TRUE
2012,17001,17001,17,adams,illinois,IL,15,R,66.5,20416,30697,60998661,47.14441261,129386830,FALSE
2016,17001,17001,17,adams,illinois,IL,15,R,70.5,22790,32310,62644203,46.11223225,135851595,TRUE
2012,18001,18001,18,adams,indiana,IN,15,R,68.6,8937,13032,60998661,47.14441261,129386830,FALSE
2016,18001,18001,18,adams,indiana,IN,15,R,73.7,9648,13088,62644203,46.11223225,135851595,TRUE
2012,19003,19003,19,adams,iowa,IA,15,R,50.7,1108,2185,60998661,47.14441261,129386830,FALSE
2016,19003,19003,19,adams,iowa,IA,15,R,66.2,1395,2106,62644203,46.11223225,135851595,TRUE
2012,28001,28001,28,adams,mississippi,MS,15,R,40.7,6293,15447,60998661,47.14441261,129386830,FALSE
2016,28001,28001,28,adams,mississippi,MS,15,R,42.5,5874,13836,62644203,46.11223225,135851595,TRUE
2012,31001,31001,31,adams,nebraska,NE,15,R,65.6,8316,12670,60998661,47.14441261,129386830,FALSE
2016,31001,31001,31,adams,nebraska,NE,15,R,69.9,9287,13294,62644203,46.11223225,135851595,TRUE
2012,38001,38001,38,adams,north dakota,ND,15,R,71.4,918,1286,60998661,47.14441261,129386830,FALSE
2016,38001,38001,38,adams,north dakota,ND,15,R,74.6,909,1218,62644203,46.11223225,135851595,TRUE
2012,39001,39001,39,adams,ohio,OH,15,R,61.7,6865,11118,60998661,47.14441261,129386830,FALSE
2016,39001,39001,39,adams,ohio,OH,15,R,75.9,8659,11412,62644203,46.11223225,135851595,TRUE
2012,42001,42001,42,adams,pennsylvania,PA,15,R,62.8,26767,42625,60998661,47.14441261,129386830,FALSE
2016,42001,42001,42,adams,pennsylvania,PA,15,R,65.5,31423,47979,62644203,46.11223225,135851595,TRUE
2012,53001,53001,53,adams,washington,WA,15,R,65.8,3171,4822,60998661,47.14441261,129386830,FALSE
2016,53001,53001,53,adams,washington,WA,15,R,64.9,3083,4754,62644203,46.11223225,135851595,TRUE
2012,55001,55001,55,adams,wisconsin,WI,15,R,45.1,4644,10287,60998661,47.14441261,129386830,FALSE
2016,55001,55001,55,adams,wisconsin,WI,15,R,58.9,5983,10164,62644203,46.11223225,135851595,TRUE
2012,50001,50001,50,addison,vermont,VT,15,R,29.1,5203,17910,60998661,47.14441261,129386830,FALSE
2016,50001,50001,50,addison,vermont,VT,15,R,27.8,5297,19031,62644203,46.11223225,135851595,TRUE
2012,45003,45003,45,aiken,south carolina,SC,15,R,62.6,44042,70363,60998661,47.14441261,129386830,FALSE
2016,45003,45003,45,aiken,south carolina,SC,15,R,61.5,46025,74851,62644203,46.11223225,135851595,TRUE
2012,27001,27001,27,aitkin,minnesota,MN,15,R,49.6,4533,9142,60998661,47.14441261,129386830,FALSE
2016,27001,27001,27,aitkin,minnesota,MN,15,R,59.8,5516,9231,62644203,46.11223225,135851595,TRUE
2012,12001,12001,12,alachua,florida,FL,15,R,40.4,48797,120773,60998661,47.14441261,129386830,FALSE
2016,12001,12001,12,alachua,florida,FL,15,R,36,46834,130100,62644203,46.11223225,135851595,TRUE
2012,37001,37001,37,alamance,north carolina,NC,15,R,56.3,38170,67776,60998661,47.14441261,129386830,FALSE
2016,37001,37001,37,alamance,north carolina,NC,15,R,54.6,38802,71127,62644203,46.11223225,135851595,TRUE
2012,6001,6001,6,alameda,california,CA,15,R,18.1,108182,596893,60998661,47.14441261,129386830,FALSE
2016,6001,6001,6,alameda,california,CA,15,R,14.5,95922,659543,62644203,46.11223225,135851595,TRUE
2012,8003,8003,8,alamosa,colorado,CO,15,R,40.3,2705,6715,60998661,47.14441261,129386830,FALSE
2016,8003,8003,8,alamosa,colorado,CO,15,R,43.9,3046,6939,62644203,46.11223225,135851595,TRUE
2012,36001,36001,36,albany,new york,NY,15,R,33.2,45064,135767,60998661,47.14441261,129386830,FALSE
2016,36001,36001,36,albany,new york,NY,15,R,34.8,44227,127104,62644203,46.11223225,135851595,TRUE
2012,56001,56001,56,albany,wyoming,WY,15,R,48.3,7866,16300,60998661,47.14441261,129386830,FALSE
2016,56001,56001,56,albany,wyoming,WY,15,R,44.6,7602,17060,62644203,46.11223225,135851595,TRUE
2012,51003,51003,51,albemarle,virginia,VA,15,R,43.2,23297,53907,60998661,47.14441261,129386830,FALSE
2016,51003,51003,51,albemarle,virginia,VA,15,R,34,19259,56726,62644203,46.11223225,135851595,TRUE
