county.fips,state,year,whitemale,whitefemale,blackmale,blackfemale,other.male,other.female
1001,AL,1992,9619,10378,1818,2369,,
1001,AL,1996,10809,11685,1971,2560,,
1001,AL,2000,11895,12876,2107,2728,332,362
1001,AL,2004,13074,13966,2386,3008,439,507
1001,AL,2008,14215,15264,2737,3498,538,643
1001,AL,2012,15013,15972,3162,3802,651,784
1003,AL,1992,32455,35299,3495,4261,,760
1003,AL,1996,38630,41864,3982,4611,,995
1003,AL,2000,44055,47498,4377,4853,1374,1289
1003,AL,2004,48944,52646,4740,5333,2235,1953
1003,AL,2008,54481,58956,5215,5816,3113,2899
1003,AL,2012,59160,64196,5801,6586,3929,3688
1005,AL,1992,5377,5623,3470,4035,,
1005,AL,1996,5746,5628,4086,4256,,
1005,AL,2000,5913,5521,4481,4443,371,162
1005,AL,2004,5772,5160,4821,4394,471,275
1005,AL,2008,5624,4939,4946,4386,554,386
1005,AL,2012,5604,4767,5091,4323,571,377
1007,AL,1992,4763,5045,1050,1154,,
1007,AL,1996,5262,5413,1365,1216,,
1007,AL,2000,5548,5858,1199,1312,,
1007,AL,2004,6041,6128,2012,1384,195,90
1007,AL,2008,6409,6344,2292,1437,230,
1007,AL,2012,6534,6421,2475,1413,286,128
1009,AL,1992,13814,14960,169,194,,
1009,AL,1996,15269,16363,181,203,,
1009,AL,2000,16828,17817,201,226,1115,687
1009,AL,2004,17590,18756,259,276,1305,887
1009,AL,2008,18433,19704,282,266,1617,1134
1009,AL,2012,18656,20165,340,304,1741,1331
1011,AL,1992,1348,1107,2372,2685,,
1011,AL,1996,1357,1073,2673,2814,,
1011,AL,2000,1323,989,2846,2815,202,
1011,AL,2004,1297,843,2820,2677,305,142
1011,AL,2008,1363,770,2922,2653,275,212
1011,AL,2012,1347,728,2904,2673,300,221
1013,AL,1992,4432,5195,2164,2973,,
1013,AL,1996,4448,5148,2267,3107,,
1013,AL,2000,4363,4962,2298,3165,,
1013,AL,2004,4286,4831,2406,3261,,
1013,AL,2008,4153,4737,2584,3572,134,
1013,AL,2012,4079,4673,2628,3615,195,
1015,AL,1992,32397,35759,6006,7524,,
1015,AL,1996,32658,35924,6192,7775,,967
1015,AL,2000,31106,34684,5968,7727,1031,1019
1015,AL,2004,31454,34638,6633,8334,1309,1329
1015,AL,2008,31889,35077,7163,9021,1683,1600
1015,AL,2012,31983,35231,7465,9404,1867,1750
1017,AL,1992,8362,9573,3695,4760,,
1017,AL,1996,8207,9335,3889,4980,,
1017,AL,2000,8020,9040,4059,5207,,
1017,AL,2004,7715,8571,4128,5197,212,191
1017,AL,2008,7513,8226,4212,5244,273,227
1017,AL,2012,7494,8224,4230,5330,359,269
1019,AL,1992,6734,7282,396,453,,
1019,AL,1996,7579,8160,412,483,,
1019,AL,2000,8221,8780,429,518,,
1019,AL,2004,8588,9121,438,503,,
1019,AL,2008,8963,9396,470,467,,
1019,AL,2012,9228,9570,457,447,,
1021,AL,1992,10256,11159,1034,1237,,
1021,AL,1996,11127,12109,1110,1342,,
1021,AL,2000,12060,13050,1188,1450,,
1021,AL,2004,12431,13447,1258,1500,848,533
1021,AL,2008,12809,13738,1322,1490,1070,771
1021,AL,2012,12948,13899,1399,1580,1258,897
1023,AL,1992,3130,3505,1975,2472,,
1023,AL,1996,3157,3531,2027,2571,,
1023,AL,2000,3129,3457,2060,2613,,
1023,AL,2004,3003,3315,2001,2499,,
1023,AL,2008,2875,3092,2008,2458,,
