statefips,countyfips,year,FIPS,black,other,white
1,1,1992,1001,4206,160,20138
1,1,1996,1001,4546,216,22713
1,1,2000,1001,4863,323,25114
1,1,2004,1001,5425,432,27523
1,1,2008,1001,6284,551,30060
1,1,2012,1001,7010,692,31685
1,3,1992,1003,7792,669,68437
1,3,1996,1003,8655,862,81519
1,3,2000,1003,9313,1082,93051
1,3,2004,1003,10188,1599,104064
1,3,2008,1003,11182,1990,117308
1,3,2012,1003,12616,2501,128153
1,5,1992,1005,7521,75,11057
1,5,1996,1005,8370,110,11498
1,5,2000,1005,8985,192,11714
1,5,2004,1005,9283,220,11390
1,5,2008,1005,9399,240,11196
1,5,2012,1005,9485,258,10975
1,7,1992,1007,2210,16,9829
1,7,1996,1007,2586,21,10717
1,7,2000,1007,2533,58,11517
1,7,2004,1007,3421,67,12362
1,7,2008,1007,3745,83,12982
1,7,2012,1007,3905,110,13266
1,9,1992,1009,364,112,29020
1,9,1996,1009,385,150,32260
1,9,2000,1009,433,236,36205
1,9,2004,1009,560,299,38214
1,9,2008,1009,598,358,40480
1,9,2012,1009,698,410,41440
1,11,1992,1011,5073,9,2478
1,11,1996,1011,5504,15,2469
1,11,2000,1011,5712,55,2491
1,11,2004,1011,5558,87,2439
1,11,2008,1011,5657,120,2418
1,11,2012,1011,5663,127,2399
1,13,1992,1013,5140,19,9656
1,13,1996,1013,5379,23,9629
1,13,2000,1013,5514,65,9382
1,13,2004,1013,5716,98,9185
1,13,2008,1013,6197,152,8961
1,13,2012,1013,6289,188,8866
1,15,1992,1015,13600,834,68820
1,15,1996,1015,14033,955,69513
1,15,2000,1015,13759,947,66829
1,15,2004,1015,15080,1134,67483
1,15,2008,1015,16361,1289,68783
1,15,2012,1015,17083,1368,69249
1,17,1992,1017,8465,28,17985
1,17,1996,1017,8885,35,17613
1,17,2000,1017,9321,97,17191
1,17,2004,1017,9388,139,16487
1,17,2008,1017,9522,194,15979
1,17,2012,1017,9647,259,16006
1,19,1992,1019,850,46,14043
1,19,1996,1019,897,52,15792
1,19,2000,1019,949,84,17109
1,19,2004,1019,942,109,17832
1,19,2008,1019,937,136,18501
1,19,2012,1019,904,154,18990
1,21,1992,1021,2277,64,21492
1,21,1996,1021,2463,81,23468
1,21,2000,1021,2695,144,25810
1,21,2004,1021,2829,198,26990
1,21,2008,1021,2903,277,28020
1,21,2012,1021,3065,350,28575
1,23,1992,1023,4458,5,6648
1,23,1996,1023,4612,6,6705
1,23,2000,1023,4702,26,6636
1,23,2004,1023,4524,25,6362
1,23,2008,1023,4484,25,6002
1,23,2012,1023,4373,38,5915
1,25,1992,1025,7038,43,11466
1,25,1996,1025,7285,41,11394
1,25,2000,1025,7680,72,11465
1,25,2004,1025,7597,87,11226
1,25,2008,1025,7757,127,10971
1,25,2012,1025,7821,146,10662
1,27,1992,1027,1341,12,8416
1,27,1996,1027,1400,16,8637
1,27,2000,1027,1471,47,8988
1,27,2004,1027,1499,56,8958
1,27,2008,1027,1540,65,8930
1,27,2012,1027,1404,86,8700
1,29,1992,1029,354,16,8874
1,29,1996,1029,343,19,9248
1,29,2000,1029,356,51,9943
1,29,2004,1029,373,49,10129
1,29,2008,1029,377,68,10429
1,29,2012,1029,392,66,10663
1,31,1992,1031,4595,383,24910
1,31,1996,1031,5036,526,25610
1,31,2000,1031,5383,670,25593
1,31,2004,1031,5517,910,26593
1,31,2008,1031,5930,1180,28521
1,31,2012,1031,6404,1387,30017
1,33,1992,1033,5727,155,32935
1,33,1996,1033,5953,182,33669
1,33,2000,1033,6215,250,34097
1,33,2004,1033,6274,306,33971
1,33,2008,1033,6325,369,34214
1,33,2012,1033,6595,436,34335
1,35,1992,1035,3702,16,6249
1,35,1996,1035,3901,19,6277
1,35,2000,1035,3987,38,6018
1,35,2004,1035,3958,43,5745
1,35,2008,1035,4265,50,5566
1,35,2012,1035,4252,50,5498
1,37,1992,1037,2455,13,5511
1,37,1996,1037,2728,14,5868
1,37,2000,1037,2670,37,5937
1,37,2004,1037,2672,52,5880
1,37,2008,1037,2685,78,5990
1,37,2012,1037,2728,80,6008
1,39,1992,1039,2931,80,23811
1,39,1996,1039,2997,114,24418
1,39,2000,1039,3022,196,24508
1,39,2004,1039,3030,236,24201
1,39,2008,1039,3192,275,24625
1,39,2012,1039,3304,312,25025
1,41,1992,1041,2216,11,7410
1,41,1996,1041,2261,17,7478
1,41,2000,1041,2349,43,7591
1,41,2004,1041,2302,94,7600
1,41,2008,1041,2378,163,7602
1,41,2012,1041,2448,208,7745
1,43,1992,1043,379,183,50212
1,43,1996,1043,442,238,53388
1,43,2000,1043,522,409,55641
1,43,2004,1043,609,507,56371
1,43,2008,1043,635,610,57949
1,43,2012,1043,724,696,58933
1,45,1992,1045,5468,694,28395
1,45,1996,1045,5825,730,28184
1,45,2000,1045,6264,757,27623
1,45,2004,1045,6521,804,28044
1,45,2008,1045,6630,845,28632
1,45,2012,1045,6871,934,29202
1,47,1992,1047,16913,107,14564
1,47,1996,1047,17809,120,13700
1,47,2000,1047,18574,174,12747
1,47,2004,1047,19127,189,11687
1,47,2008,1047,20151,206,10614
1,47,2012,1047,20311,225,10085
1,49,1992,1049,661,332,40225
1,49,1996,1049,690,413,42779
1,49,2000,1049,750,550,45657
1,49,2004,1049,804,1007,46704
1,49,2008,1049,892,1380,47832
1,49,2012,1049,971,1597,48870
1,51,1992,1051,7760,206,29615
1,51,1996,1051,8455,282,33432
1,51,2000,1051,9478,431,37570
1,51,2004,1051,9968,564,40903
1,51,2008,1051,10992,678,45018
1,51,2012,1051,12199,806,46620
1,53,1992,1053,6842,712,18250
1,53,1996,1053,7511,782,18623
1,53,2000,1053,8181,865,18874
1,53,2004,1053,8220,926,18608
1,53,2008,1053,8615,1026,18401
1,53,2012,1053,8986,1085,18580
1,55,1992,1055,9027,491,64346
1,55,1996,1055,9495,564,65465
1,55,2000,1055,9881,664,65449
1,55,2004,1055,10258,845,65196
1,55,2008,1055,10797,1010,65264
1,55,2012,1055,11370,1221,65718
1,57,1992,1057,1459,9,11623
1,57,1996,1057,1476,13,11828
1,57,2000,1057,1493,51,12049
1,57,2004,1057,1497,60,11749
1,57,2008,1057,1507,75,11451
1,57,2012,1057,1477,89,11327
1,59,1992,1059,850,43,20052
1,59,1996,1059,881,48,21207
1,59,2000,1059,893,126,21737
1,59,2004,1059,872,216,21409
1,59,2008,1059,907,328,21483
1,59,2012,1059,1076,400,21633
1,61,1992,1061,1724,84,15807
1,61,1996,1061,1754,116,16497
1,61,2000,1061,1789,169,16986
1,61,2004,1061,1859,190,17141
1,61,2008,1061,1869,229,17824
1,61,2012,1061,1969,262,18190
1,63,1992,1063,5017,,1637
1,63,1996,1063,5084,,1600
1,63,2000,1063,5125,19,1535
1,63,2004,1063,5213,19,1519
1,63,2008,1063,5177,32,1464
1,63,2012,1063,5160,31,1351
1,65,1992,1065,5699,12,4786
1,65,1996,1065,5961,13,4932
1,65,2000,1065,7054,45,5457
1,65,2004,1065,6525,42,5126
1,65,2008,1065,6511,48,5057
1,65,2012,1065,6366,50,4914
1,67,1992,1067,3440,14,7708
1,67,1996,1067,3443,15,7945
1,67,2000,1067,3560,35,8382
1,67,2004,1067,3634,48,8655
1,67,2008,1067,3758,72,9088
1,67,2012,1067,3588,99,9396
1,69,1992,1069,12009,515,46425
1,69,1996,1069,12970,615,47312
1,69,2000,1069,14116,697,48972
1,69,2004,1069,15295,804,50531
1,69,2008,1069,17062,1024,53987
1,69,2012,1069,18567,1236,56344
1,71,1992,1071,1305,627,33616
1,71,1996,1071,1331,741,35636
1,71,2000,1071,1392,844,37368
1,71,2004,1071,1359,898,37478
1,71,2008,1071,1353,971,37530
1,71,2012,1071,1355,1008,37835
1,73,1992,1073,156568,3603,319547
1,73,1996,1073,166755,4916,310744
1,73,2000,1073,175315,6243,298579
1,73,2004,1073,181966,7574,290075
1,73,2008,1073,190046,8792,283335
1,73,2012,1073,198735,9856,279648
1,75,1992,1075,1195,12,10127
1,75,1996,1075,1230,10,10302
1,75,2000,1075,1256,28,10449
1,75,2004,1075,1199,30,10095
1,75,2008,1075,1201,27,9864
1,75,2012,1075,1181,37,9629
1,77,1992,1077,5149,274,55065
1,77,1996,1077,5540,344,57481
1,77,2000,1077,5802,417,58866
1,77,2004,1077,6000,600,59732
1,77,2008,1077,6403,828,61937
1,77,2012,1077,6707,967,62705
1,79,1992,1079,2965,1032,18698
1,79,1996,1079,3041,1142,19604
1,79,2000,1079,3172,1274,20562
1,79,2004,1079,3021,1401,20703
1,79,2008,1079,3001,1473,20731
1,79,2012,1079,2971,1567,20894
1,81,1992,1081,13472,1355,50392
1,81,1996,1081,15117,1565,55293
1,81,2000,1081,17085,1771,62242
1,81,2004,1081,18671,2325,65953
1,81,2008,1081,21077,2914,72520
1,81,2012,1081,24292,4002,80123
1,83,1992,1083,5200,229,36004
1,83,1996,1083,5775,303,38277
1,83,2000,1083,6395,438,41159
1,83,2004,1083,6680,702,43815
1,83,2008,1083,7684,1088,49268
1,83,2012,1083,8733,1434,54613
1,85,1992,1085,5493,3,2510
1,85,1996,1085,5784,4,2586
1,85,2000,1085,6219,35,2729
1,85,2004,1085,6073,36,2541
1,85,2008,1085,6018,39,2369
1,85,2012,1085,5766,43,2216
1,87,1992,1087,13776,64,2757
1,87,1996,1087,13636,87,2729
1,87,2000,1087,13754,127,2688
1,87,2004,1087,13080,115,2663
1,87,2008,1087,12928,114,2605
1,87,2012,1087,12358,92,2789
1,89,1992,1089,33670,4405,145393
1,89,1996,1089,37554,5245,148134
1,89,2000,1089,41895,5905,150871
1,89,2004,1089,47120,7127,159007
1,89,2008,1089,54159,8433,172691
1,89,2012,1089,59790,9588,184653
1,91,1992,1091,7217,8,8349
1,91,1996,1091,7329,13,8255
1,91,2000,1091,7432,41,8068
1,91,2004,1091,7352,49,7831
1,91,2008,1091,7569,82,7586
1,91,2012,1091,7456,92,7515
1,93,1992,1093,697,54,21201
1,93,1996,1093,808,67,22366
1,93,2000,1093,859,123,22330
1,93,2004,1093,856,128,22158
1,93,2008,1093,965,137,22301
1,93,2012,1093,1006,169,22167
1,95,1992,1095,712,271,52870
1,95,1996,1095,762,386,57385
1,95,2000,1095,772,551,58532
1,95,2004,1095,958,858,59867
1,95,2008,1095,1158,1182,63353
1,95,2012,1095,1428,1403,65773
1,97,1992,1097,75295,3941,188518
1,97,1996,1097,80056,4989,188613
1,97,2000,1097,84659,5996,187702
1,97,2004,1097,88045,7092,186968
1,97,2008,1097,93833,8290,190630
1,97,2012,1097,99491,9312,192991
1,99,1992,1099,5595,170,10357
1,99,1996,1099,5986,200,10554
1,99,2000,1099,6197,218,10314
1,99,2004,1099,6254,240,10079
1,99,2008,1099,6432,230,9911
1,99,2012,1099,6566,274,9686
1,101,1992,1101,57829,1509,90790
1,101,1996,1101,65021,1919,89022
1,101,2000,1101,70798,2290,85224
1,101,2004,1101,75617,2946,80356
1,101,2008,1101,83204,3866,76519
1,101,2012,1101,88472,4654,72430
1,103,1992,1103,6636,544,67365
1,103,1996,1103,7412,733,69608
1,103,2000,1103,8144,1043,71115
1,103,2004,1103,8639,1284,72219
1,103,2008,1103,9505,1603,75098
1,103,2012,1103,10470,1712,76984
1,105,1992,1105,4676,4,3187
1,105,1996,1105,4889,4,3004
1,105,2000,1105,5023,12,2765
1,105,2004,1105,4969,16,2565
1,105,2008,1105,4878,30,2527
1,105,2012,1105,4726,41,2418
1,107,1992,1107,5247,22,9212
1,107,1996,1107,5430,23,9094
1,107,2000,1107,5633,50,8918
1,107,2004,1107,5696,73,8806
1,107,2008,1107,5747,99,8736
1,107,2012,1107,5705,112,8728
1,109,1992,1109,6155,145,13482
1,109,1996,1109,6629,187,13563
1,109,2000,1109,7076,290,13727
1,109,2004,1109,7560,468,13957
1,109,2008,1109,8105,682,14613
1,109,2012,1109,8693,814,15331
1,111,1992,1111,2964,22,11843
1,111,1996,1111,3078,27,12310
1,111,2000,1111,3215,67,12815
1,111,2004,1111,3265,83,13120
1,111,2008,1111,3219,125,13454
1,111,2012,1111,3148,143,13534
1,113,1992,1113,12452,179,21924
1,113,1996,1113,13522,247,22516
1,113,2000,1113,13532,330,21428
1,113,2004,1113,13918,397,21046
1,113,2008,1113,14618,488,21566
1,113,2012,1113,17149,701,23947
1,115,1992,1115,3214,156,34431
1,115,1996,1115,3544,203,38802
1,115,2000,1115,3797,287,42959
1,115,2004,1115,4185,453,46822
1,115,2008,1115,5100,628,54014
1,115,2012,1115,5743,749,56936
1,117,1992,1117,5175,699,69289
1,117,1996,1117,6195,1085,82460
1,117,2000,1117,7174,1500,94655
1,117,2004,1117,10064,2334,106572
1,117,2008,1117,13375,3161,119205
1,117,2012,1117,16305,3729,126063
1,119,1992,1119,6838,7,3521
1,119,1996,1119,7041,8,3336
1,119,2000,1119,6878,22,3030
1,119,2004,1119,7071,24,2823
1,119,2008,1119,7225,40,2671
1,119,2012,1119,7165,95,2717
1,121,1992,1121,14335,205,38167
1,121,1996,1121,15558,237,39544
1,121,2000,1121,17003,306,41062
1,121,2004,1121,17515,389,41287
1,121,2008,1121,18316,503,41755
1,121,2012,1121,18878,603,41890
1,123,1992,1123,6515,58,22076
1,123,1996,1123,6762,76,22899
1,123,2000,1123,7138,145,23431
1,123,2004,1123,7253,202,22912
1,123,2008,1123,7685,252,23175
1,123,2012,1123,7781,281,23190
1,125,1992,1125,25936,1280,82979
1,125,1996,1125,28769,1468,84347
1,125,2000,1125,31421,1685,85557
1,125,2004,1125,33196,1988,89214
1,125,2008,1125,37207,2297,96839
1,125,2012,1125,41460,2750,102117
1,127,1992,1127,2728,147,46735
1,127,1996,1127,2811,196,48157
1,127,2000,1127,2899,274,49017
1,127,2004,1127,2875,329,48024
1,127,2008,1127,2852,410,47392
1,127,2012,1127,2857,472,46619
1,129,1992,1129,2785,653,7919
1,129,1996,1129,2927,724,8262
1,129,2000,1129,3071,806,8496
1,129,2004,1129,3029,875,8616
1,129,2008,1129,3025,940,8562
1,129,2012,1129,2955,940,8690
