statefips,countyfips,year,FIPS,black,other,white
1,1,2015,1001,7564,809,31999
1,3,2015,1003,13690,2911,138048
1,5,2015,1005,9473,269,10637
1,7,2015,1007,3989,133,13316
1,9,2015,1009,748,463,41839
1,11,2015,1011,5747,126,2381
1,13,2015,1013,6284,191,8487
1,15,2015,1015,17374,1495,68177
1,17,2015,1017,10004,368,15775
1,19,2015,1019,936,178,19042
1,21,2015,1021,3315,372,28639
1,23,2015,1023,4234,42,5922
1,25,2015,1025,7940,165,10522
1,27,2015,1027,1495,90,8785
1,29,2015,1029,392,81,10780
1,31,2015,1031,6717,1479,29741
1,33,2015,1033,6710,483,34291
1,35,2015,1035,4277,64,5315
1,37,2015,1037,2587,82,5910
1,39,2015,1039,3462,351,24885
1,41,2015,1041,2511,224,7750
1,43,2015,1043,817,778,60277
1,45,2015,1045,7127,1038,28695
1,47,2015,1047,19988,236,9558
1,49,2015,1049,1029,1634,49372
1,51,2015,1051,12691,869,47531
1,53,2015,1053,9085,1134,18421
1,55,2015,1055,11690,1342,65160
1,57,2015,1057,1516,95,11165
1,59,2015,1059,1254,457,21491
1,61,2015,1061,1929,319,18059
1,63,2015,1063,5026,34,1284
1,65,2015,1065,6291,51,4841
1,67,2015,1067,3572,123,9550
1,69,2015,1069,19338,1324,56787
1,71,2015,1071,1438,1088,37563
1,73,2015,1073,205255,10485,276385
1,75,2015,1075,1172,35,9428
1,77,2015,1077,6921,1044,63114
1,79,2015,1079,2922,1637,20729
1,81,2015,1081,26886,4801,83942
1,83,2015,1083,9546,1697,57236
1,85,2015,1085,5622,53,2169
1,87,2015,1087,11733,97,2667
1,89,2015,1089,63456,10549,190769
1,91,2015,1091,7504,94,7319
1,93,2015,1093,1040,181,21992
1,95,2015,1095,1712,1465,66303
1,97,2015,1097,103359,10070,192578
1,99,2015,1099,6489,294,9394
1,101,2015,1101,92213,5377,68606
1,103,2015,1103,10915,1831,76780
1,105,2015,1105,4646,47,2297
1,107,2015,1107,6198,146,9881
1,109,2015,1109,8875,850,15142
1,111,2015,1111,3268,167,13696
1,113,2015,1113,18753,827,23502
1,115,2015,1115,6329,878,58293
1,117,2015,1117,18491,4079,130796
1,119,2015,1119,7082,176,2670
1,121,2015,1121,19269,741,41364
1,123,2015,1123,8072,304,23012
1,125,2015,1125,45248,3039,102747
1,127,2015,1127,2948,528,46021
1,129,2015,1129,3012,1025,8584
1,131,2015,1131,5495,34,2489
1,133,2015,1133,177,243,18004
2,13,2015,2013,343,1883,751
2,16,2015,2016,436,2621,1903
2,20,2015,2020,15146,44816,157505
2,50,2015,2050,116,9121,1704
2,60,2015,2060,14,300,391
2,68,2015,2068,31,123,1377
2,70,2015,2070,33,2416,827
2,90,2015,2090,4466,8828,59572
2,100,2015,2100,25,258,1711
2,105,2015,2105,16,721,930
2,110,2015,2110,443,5320,18937
2,122,2015,2122,400,4474,38503
2,130,2015,2130,119,2452,7763
2,150,2015,2150,169,3528,6162
2,164,2015,2164,18,722,329
2,170,2015,2170,1253,6757,63146
2,180,2015,2180,56,4622,1424
2,185,2015,2185,146,3726,3090
2,188,2015,2188,76,3823,873
2,195,2015,2195,66,352,1977
2,198,2015,2198,40,2047,2557
2,220,2015,2220,109,1687,4895
2,230,2015,2230,12,67,828
2,240,2015,2240,95,735,4129
2,261,2015,2261,100,1302,5488
2,270,2015,2270,21,4168,292
2,275,2015,2275,26,353,1465
2,282,2015,2282,28,224,222
2,290,2015,2290,35,2750,1077
4,1,2015,4001,388,35863,12573
4,3,2015,4003,4632,4696,85830
4,5,2015,4005,1740,28060,71101
4,7,2015,4007,358,6149,34812
