county.fips,state,county,rural_percent,rural
01001,AL,"Autauga County, Alabama",42.0,0
01003,AL,"Baldwin County, Alabama",42.3,0
01005,AL,"Barbour County, Alabama",67.8,1
01007,AL,"Bibb County, Alabama",68.4,1
01009,AL,"Blount County, Alabama",90.0,1
01011,AL,"Bullock County, Alabama",51.4,1
01013,AL,"Butler County, Alabama",71.2,1
01015,AL,"Calhoun County, Alabama",33.7,0
01017,AL,"Chambers County, Alabama",49.1,0
01019,AL,"Cherokee County, Alabama",85.7,1
01021,AL,"Chilton County, Alabama",86.7,1
01023,AL,"Choctaw County, Alabama",100.0,1
01025,AL,"Clarke County, Alabama",76.0,1
01027,AL,"Clay County, Alabama",100.0,1
01029,AL,"Cleburne County, Alabama",100.0,1
01031,AL,"Coffee County, Alabama",47.2,0
01033,AL,"Colbert County, Alabama",43.9,0
01035,AL,"Conecuh County, Alabama",80.9,1
01037,AL,"Coosa County, Alabama",100.0,1
01039,AL,"Covington County, Alabama",69.7,1
01041,AL,"Crenshaw County, Alabama",100.0,1
01043,AL,"Cullman County, Alabama",73.2,1
01045,AL,"Dale County, Alabama",50.9,1
01047,AL,"Dallas County, Alabama",45.6,0
01049,AL,"DeKalb County, Alabama",90.1,1
01051,AL,"Elmore County, Alabama",54.2,1
01053,AL,"Escambia County, Alabama",63.5,1
01055,AL,"Etowah County, Alabama",37.5,0
01057,AL,"Fayette County, Alabama",80.2,1
01059,AL,"Franklin County, Alabama",70.4,1
01061,AL,"Geneva County, Alabama",89.6,1
01063,AL,"Greene County, Alabama",100.0,1
01065,AL,"Hale County, Alabama",89.2,1
01067,AL,"Henry County, Alabama",87.8,1
01069,AL,"Houston County, Alabama",33.8,0
01071,AL,"Jackson County, Alabama",77.0,1
01073,AL,"Jefferson County, Alabama",9.8,0
01075,AL,"Lamar County, Alabama",100.0,1
01077,AL,"Lauderdale County, Alabama",49.3,0
01079,AL,"Lawrence County, Alabama",91.3,1
01081,AL,"Lee County, Alabama",27.4,0
01083,AL,"Limestone County, Alabama",57.6,1
01085,AL,"Lowndes County, Alabama",100.0,1
01087,AL,"Macon County, Alabama",55.5,1
01089,AL,"Madison County, Alabama",16.4,0
01091,AL,"Marengo County, Alabama",69.3,1
01093,AL,"Marion County, Alabama",88.9,1
01095,AL,"Marshall County, Alabama",53.3,1
01097,AL,"Mobile County, Alabama",20.0,0
01099,AL,"Monroe County, Alabama",79.0,1
01101,AL,"Montgomery County, Alabama",10.5,0
01103,AL,"Morgan County, Alabama",38.6,0
01105,AL,"Perry County, Alabama",100.0,1
01107,AL,"Pickens County, Alabama",100.0,1
01109,AL,"Pike County, Alabama",51.7,1
01111,AL,"Randolph County, Alabama",81.3,1
01113,AL,"Russell County, Alabama",35.4,0
01115,AL,"St. Clair County, Alabama",72.8,1
01117,AL,"Shelby County, Alabama",22.9,0
01119,AL,"Sumter County, Alabama",100.0,1
01121,AL,"Talladega County, Alabama",55.8,1
01123,AL,"Tallapoosa County, Alabama",74.2,1
01125,AL,"Tuscaloosa County, Alabama",25.5,0
01127,AL,"Walker County, Alabama",74.1,1
01129,AL,"Washington County, Alabama",100.0,1
01131,AL,"Wilcox County, Alabama",100.0,1
01133,AL,"Winston County, Alabama",84.9,1
04001,AZ,"Apache County, Arizona",74.1,1
04003,AZ,"Cochise County, Arizona",36.3,0
04005,AZ,"Coconino County, Arizona",31.5,0
04007,AZ,"Gila County, Arizona",41.1,0
04009,AZ,"Graham County, Arizona",46.4,0
04011,AZ,"Greenlee County, Arizona",46.6,0
04012,AZ,"La Paz County, Arizona",56.3,1
04013,AZ,"Maricopa County, Arizona",2.4,0
04015,AZ,"Mohave County, Arizona",23.0,0
04017,AZ,"Navajo County, Arizona",54.1,1
04019,AZ,"Pima County, Arizona",7.5,0
04021,AZ,"Pinal County, Arizona",21.9,0
04023,AZ,"Santa Cruz County, Arizona",26.9,0
04025,AZ,"Yavapai County, Arizona",33.2,0
04027,AZ,"Yuma County, Arizona",10.4,0
05001,AR,"Arkansas County, Arkansas",34.7,0
05003,AR,"Ashley County, Arkansas",51.7,1
05005,AR,"Baxter County, Arkansas",65.8,1
05007,AR,"Benton County, Arkansas",25.2,0
05009,AR,"Boone County, Arkansas",62.2,1
05011,AR,"Bradley County, Arkansas",49.6,0
05013,AR,"Calhoun County, Arkansas",100.0,1
05015,AR,"Carroll County, Arkansas",72.8,1
05017,AR,"Chicot County, Arkansas",54.3,1
05019,AR,"Clark County, Arkansas",54.4,1
05021,AR,"Clay County, Arkansas",58.9,1
05023,AR,"Cleburne County, Arkansas",75.5,1
05025,AR,"Cleveland County, Arkansas",100.0,1
05027,AR,"Columbia County, Arkansas",57.5,1
05029,AR,"Conway County, Arkansas",70.5,1
05031,AR,"Craighead County, Arkansas",32.2,0
05033,AR,"Crawford County, Arkansas",52.0,1
05035,AR,"Crittenden County, Arkansas",20.9,0
05037,AR,"Cross County, Arkansas",56.8,1
05039,AR,"Dallas County, Arkansas",52.6,1
05041,AR,"Desha County, Arkansas",31.4,0
05043,AR,"Drew County, Arkansas",48.6,0
05045,AR,"Faulkner County, Arkansas",38.8,0
05047,AR,"Franklin County, Arkansas",82.6,1
05049,AR,"Fulton County, Arkansas",92.9,1
05051,AR,"Garland County, Arkansas",36.9,0
05053,AR,"Grant County, Arkansas",75.0,1
05055,AR,"Greene County, Arkansas",41.5,0
05057,AR,"Hempstead County, Arkansas",55.8,1
05059,AR,"Hot Spring County, Arkansas",66.0,1
05061,AR,"Howard County, Arkansas",67.5,1
05063,AR,"Independence County, Arkansas",68.6,1
05065,AR,"Izard County, Arkansas",100.0,1
05067,AR,"Jackson County, Arkansas",65.1,1
05069,AR,"Jefferson County, Arkansas",30.9,0
05071,AR,"Johnson County, Arkansas",71.4,1
05073,AR,"Lafayette County, Arkansas",100.0,1
05075,AR,"Lawrence County, Arkansas",63.6,1
05077,AR,"Lee County, Arkansas",63.5,1
05079,AR,"Lincoln County, Arkansas",100.0,1
05081,AR,"Little River County, Arkansas",68.5,1
05083,AR,"Logan County, Arkansas",71.0,1
05085,AR,"Lonoke County, Arkansas",44.8,0
05087,AR,"Madison County, Arkansas",100.0,1
05089,AR,"Marion County, Arkansas",100.0,1
05091,AR,"Miller County, Arkansas",40.0,0
05093,AR,"Mississippi County, Arkansas",36.3,0
05095,AR,"Monroe County, Arkansas",69.0,1
05097,AR,"Montgomery County, Arkansas",100.0,1
05099,AR,"Nevada County, Arkansas",69.2,1
05101,AR,"Newton County, Arkansas",100.0,1
05103,AR,"Ouachita County, Arkansas",56.3,1
05105,AR,"Perry County, Arkansas",100.0,1
05107,AR,"Phillips County, Arkansas",48.0,0
05109,AR,"Pike County, Arkansas",100.0,1
05111,AR,"Poinsett County, Arkansas",71.1,1
05113,AR,"Polk County, Arkansas",73.4,1
05115,AR,"Pope County, Arkansas",54.5,1
05117,AR,"Prairie County, Arkansas",100.0,1
05119,AR,"Pulaski County, Arkansas",12.3,0
05121,AR,"Randolph County, Arkansas",67.4,1
05123,AR,"St. Francis County, Arkansas",51.6,1
05125,AR,"Saline County, Arkansas",36.2,0
05127,AR,"Scott County, Arkansas",70.4,1
05129,AR,"Searcy County, Arkansas",100.0,1
05131,AR,"Sebastian County, Arkansas",20.8,0
05133,AR,"Sevier County, Arkansas",63.6,1
05135,AR,"Sharp County, Arkansas",80.1,1
05137,AR,"Stone County, Arkansas",100.0,1
05139,AR,"Union County, Arkansas",54.5,1
05141,AR,"Van Buren County, Arkansas",100.0,1
05143,AR,"Washington County, Arkansas",25.5,0
05145,AR,"White County, Arkansas",54.3,1
05147,AR,"Woodruff County, Arkansas",100.0,1
05149,AR,"Yell County, Arkansas",79.1,1
06001,CA,"Alameda County, California",0.4,0
06003,CA,"Alpine County, California",100.0,1
06005,CA,"Amador County, California",60.4,1
06007,CA,"Butte County, California",18.9,0
06009,CA,"Calaveras County, California",75.4,1
06011,CA,"Colusa County, California",31.7,0
06013,CA,"Contra Costa County, California",0.8,0
06015,CA,"Del Norte County, California",33.7,0
06017,CA,"El Dorado County, California",34.7,0
06019,CA,"Fresno County, California",10.8,0
06021,CA,"Glenn County, California",40.9,0
06023,CA,"Humboldt County, California",29.8,0
06025,CA,"Imperial County, California",17.4,0
06027,CA,"Inyo County, California",46.4,0
06029,CA,"Kern County, California",10.2,0
06031,CA,"Kings County, California",10.9,0
06033,CA,"Lake County, California",33.1,0
06035,CA,"Lassen County, California",70.5,1
06037,CA,"Los Angeles County, California",0.6,0
06039,CA,"Madera County, California",32.9,0
06041,CA,"Marin County, California",6.5,0
06043,CA,"Mariposa County, California",100.0,1
06045,CA,"Mendocino County, California",45.2,0
06047,CA,"Merced County, California",14.3,0
06049,CA,"Modoc County, California",70.0,1
06051,CA,"Mono County, California",45.8,0
06053,CA,"Monterey County, California",9.8,0
06055,CA,"Napa County, California",13.4,0
06057,CA,"Nevada County, California",42.1,0
06059,CA,"Orange County, California",0.1,0
06061,CA,"Placer County, California",13.8,0
06063,CA,"Plumas County, California",74.0,1
06065,CA,"Riverside County, California",4.6,0
06067,CA,"Sacramento County, California",2.1,0
06069,CA,"San Benito County, California",24.0,0
06071,CA,"San Bernardino County, California",4.7,0
06073,CA,"San Diego County, California",3.3,0
06075,CA,"San Francisco County, California",0.0,0
06077,CA,"San Joaquin County, California",8.5,0
06079,CA,"San Luis Obispo County, California",16.6,0
06081,CA,"San Mateo County, California",1.9,0
06083,CA,"Santa Barbara County, California",5.0,0
06085,CA,"Santa Clara County, California",1.1,0
06087,CA,"Santa Cruz County, California",12.0,0
06089,CA,"Shasta County, California",29.3,0
06091,CA,"Sierra County, California",99.7,1
06093,CA,"Siskiyou County, California",65.8,1
06095,CA,"Solano County, California",3.7,0
06097,CA,"Sonoma County, California",12.4,0
06099,CA,"Stanislaus County, California",8.0,0
06101,CA,"Sutter County, California",14.8,0
06103,CA,"Tehama County, California",51.5,1
06105,CA,"Trinity County, California",100.0,1
06107,CA,"Tulare County, California",15.5,0
06109,CA,"Tuolumne County, California",49.0,0
06111,CA,"Ventura County, California",3.1,0
06113,CA,"Yolo County, California",6.9,0
06115,CA,"Yuba County, California",26.2,0
08001,CO,"Adams County, Colorado",3.6,0
08003,CO,"Alamosa County, Colorado",36.9,0
08005,CO,"Arapahoe County, Colorado",1.6,0
08007,CO,"Archuleta County, Colorado",59.4,1
