st.unemp.2015, st.unemp.2012,state,st.unemp.gro
6.1,8,AL,-0.2375
6.4,7.1,AK,-0.0986
6,8.3,AZ,-0.2771
5.1,7.6,AR,-0.3289
6.2,10.4,CA,-0.4038
3.9,7.9,CO,-0.5063
5.7,8.3,CT,-0.3133
4.8,7.2,DE,-0.3333
6.9,9,DC,-0.2333
5.4,8.5,FL,-0.3647
6,9.2,GA,-0.3478
3.6,6,HI,-0.4000
4.2,7.2,ID,-0.4167
5.9,9,IL,-0.3444
4.8,8.3,IN,-0.4217
3.8,5,IA,-0.2400
4.2,5.7,KS,-0.2632
5.3,8.2,KY,-0.3537
6.3,7.1,LA,-0.1127
4.4,7.5,ME,-0.4133
5.1,7,MD,-0.2714
4.9,6.7,MA,-0.2687
5.4,9.1,MI,-0.4066
3.7,5.6,MN,-0.3393
6.4,9,MS,-0.2889
5,6.9,MO,-0.2754
4.2,6,MT,-0.3000
3,4,NE,-0.2500
6.8,11.2,NV,-0.3929
3.4,5.5,NH,-0.3818
5.8,9.3,NJ,-0.3763
6.6,7.1,NM,-0.0704
5.3,8.5,NY,-0.3765
5.8,9.3,NC,-0.3763
2.8,3.1,ND,-0.0968
4.9,7.4,OH,-0.3378
4.4,5.2,OK,-0.1538
5.6,8.8,OR,-0.3636
5.3,7.8,PA,-0.3205
6,10.4,RI,-0.4231
6,9.2,SC,-0.3478
3.1,4.3,SD,-0.2791
5.6,7.8,TN,-0.2821
4.5,6.7,TX,-0.3284
3.6,5.4,UT,-0.3333
3.6,5,VT,-0.2800
4.5,6.1,VA,-0.2623
5.6,8.1,WA,-0.3086
6.8,7.5,WV,-0.0933
4.6,7,WI,-0.3429
4.2,5.3,WY,-0.2075
